US/Pacific Time Stamp,Hahn Building Demand
2018-01-01 00:14:59-08:00,17.67
2018-01-01 00:29:59-08:00,17.4
2018-01-01 00:44:59-08:00,17.47
2018-01-01 00:59:59-08:00,18.0
2018-01-01 01:14:59-08:00,18.0
2018-01-01 01:29:59-08:00,18.0
2018-01-01 01:44:59-08:00,18.0
2018-01-01 01:59:59-08:00,18.0
2018-01-01 02:14:59-08:00,18.0
2018-01-01 02:29:59-08:00,17.87
2018-01-01 02:44:59-08:00,17.87
2018-01-01 02:59:59-08:00,18.0
2018-01-01 03:14:59-08:00,18.0
2018-01-01 03:29:59-08:00,18.0
2018-01-01 03:44:59-08:00,18.0
2018-01-01 03:59:59-08:00,18.0
2018-01-01 04:14:59-08:00,26.2
2018-01-01 04:29:59-08:00,41.6
2018-01-01 04:44:59-08:00,41.0
2018-01-01 04:59:59-08:00,41.0
2018-01-01 05:14:59-08:00,41.0
2018-01-01 05:29:59-08:00,41.0
2018-01-01 05:44:59-08:00,41.0
2018-01-01 05:59:59-08:00,41.0
2018-01-01 06:14:59-08:00,40.93
2018-01-01 06:29:59-08:00,40.0
2018-01-01 06:44:59-08:00,40.0
2018-01-01 06:59:59-08:00,40.93
2018-01-01 07:14:59-08:00,30.6
2018-01-01 07:29:59-08:00,14.87
2018-01-01 07:44:59-08:00,13.67
2018-01-01 07:59:59-08:00,14.0
2018-01-01 08:14:59-08:00,14.0
2018-01-01 08:29:59-08:00,14.0
2018-01-01 08:44:59-08:00,14.0
2018-01-01 08:59:59-08:00,14.87
2018-01-01 09:14:59-08:00,14.0
2018-01-01 09:29:59-08:00,13.93
2018-01-01 09:44:59-08:00,14.0
2018-01-01 09:59:59-08:00,14.0
2018-01-01 10:14:59-08:00,13.6
2018-01-01 10:29:59-08:00,13.53
2018-01-01 10:44:59-08:00,13.13
2018-01-01 10:59:59-08:00,13.93
2018-01-01 11:14:59-08:00,13.0
2018-01-01 11:29:59-08:00,13.0
2018-01-01 11:44:59-08:00,13.07
2018-01-01 11:59:59-08:00,14.0
2018-01-01 12:14:59-08:00,13.47
2018-01-01 12:29:59-08:00,13.4
2018-01-01 12:44:59-08:00,13.0
2018-01-01 12:59:59-08:00,13.67
2018-01-01 13:14:59-08:00,14.0
2018-01-01 13:29:59-08:00,14.0
2018-01-01 13:44:59-08:00,13.13
2018-01-01 13:59:59-08:00,13.47
2018-01-01 14:14:59-08:00,13.8
2018-01-01 14:29:59-08:00,13.53
2018-01-01 14:44:59-08:00,13.53
2018-01-01 14:59:59-08:00,13.0
2018-01-01 15:14:59-08:00,13.67
2018-01-01 15:29:59-08:00,13.0
2018-01-01 15:44:59-08:00,13.0
2018-01-01 15:59:59-08:00,13.47
2018-01-01 16:14:59-08:00,14.0
2018-01-01 16:29:59-08:00,14.0
2018-01-01 16:44:59-08:00,13.07
2018-01-01 16:59:59-08:00,15.73
2018-01-01 17:14:59-08:00,17.27
2018-01-01 17:29:59-08:00,17.0
2018-01-01 17:44:59-08:00,17.0
2018-01-01 17:59:59-08:00,17.0
2018-01-01 18:14:59-08:00,17.2
2018-01-01 18:29:59-08:00,18.67
2018-01-01 18:44:59-08:00,17.0
2018-01-01 18:59:59-08:00,17.0
2018-01-01 19:14:59-08:00,17.0
2018-01-01 19:29:59-08:00,17.0
2018-01-01 19:44:59-08:00,17.0
2018-01-01 19:59:59-08:00,17.0
2018-01-01 20:14:59-08:00,17.0
2018-01-01 20:29:59-08:00,17.0
2018-01-01 20:44:59-08:00,17.0
2018-01-01 20:59:59-08:00,17.73
2018-01-01 21:14:59-08:00,17.67
2018-01-01 21:29:59-08:00,17.67
2018-01-01 21:44:59-08:00,17.67
2018-01-01 21:59:59-08:00,17.87
2018-01-01 22:14:59-08:00,17.67
2018-01-01 22:29:59-08:00,17.27
2018-01-01 22:44:59-08:00,17.8
2018-01-01 22:59:59-08:00,17.93
2018-01-01 23:14:59-08:00,17.6
2018-01-01 23:29:59-08:00,17.53
2018-01-01 23:44:59-08:00,18.0
2018-01-01 23:59:59-08:00,18.0
2018-01-02 00:14:59-08:00,18.0
2018-01-02 00:29:59-08:00,17.8
2018-01-02 00:44:59-08:00,18.0
2018-01-02 00:59:59-08:00,18.0
2018-01-02 01:14:59-08:00,18.0
2018-01-02 01:29:59-08:00,18.0
2018-01-02 01:44:59-08:00,18.0
2018-01-02 01:59:59-08:00,18.0
2018-01-02 02:14:59-08:00,18.0
2018-01-02 02:29:59-08:00,18.0
2018-01-02 02:44:59-08:00,18.0
2018-01-02 02:59:59-08:00,18.0
2018-01-02 03:14:59-08:00,18.0
2018-01-02 03:29:59-08:00,18.07
2018-01-02 03:44:59-08:00,18.87
2018-01-02 03:59:59-08:00,18.0
2018-01-02 04:14:59-08:00,26.07
2018-01-02 04:29:59-08:00,41.4
2018-01-02 04:44:59-08:00,41.0
2018-01-02 04:59:59-08:00,41.0
2018-01-02 05:14:59-08:00,41.0
2018-01-02 05:29:59-08:00,41.0
2018-01-02 05:44:59-08:00,40.6
2018-01-02 05:59:59-08:00,41.0
2018-01-02 06:14:59-08:00,44.27
2018-01-02 06:29:59-08:00,48.93
2018-01-02 06:44:59-08:00,49.0
2018-01-02 06:59:59-08:00,49.0
2018-01-02 07:14:59-08:00,49.47
2018-01-02 07:29:59-08:00,48.53
2018-01-02 07:44:59-08:00,45.27
2018-01-02 07:59:59-08:00,45.0
2018-01-02 08:14:59-08:00,45.0
2018-01-02 08:29:59-08:00,45.0
2018-01-02 08:44:59-08:00,45.0
2018-01-02 08:59:59-08:00,45.87
2018-01-02 09:14:59-08:00,45.0
2018-01-02 09:29:59-08:00,45.0
2018-01-02 09:44:59-08:00,45.0
2018-01-02 09:59:59-08:00,45.0
2018-01-02 10:14:59-08:00,45.0
2018-01-02 10:29:59-08:00,45.0
2018-01-02 10:44:59-08:00,45.47
2018-01-02 10:59:59-08:00,46.0
2018-01-02 11:14:59-08:00,49.47
2018-01-02 11:29:59-08:00,75.33
2018-01-02 11:44:59-08:00,205.07
2018-01-02 11:59:59-08:00,249.0
2018-01-02 12:14:59-08:00,214.53
2018-01-02 12:29:59-08:00,196.2
2018-01-02 12:44:59-08:00,196.8
2018-01-02 12:59:59-08:00,197.13
2018-01-02 13:14:59-08:00,195.47
2018-01-02 13:29:59-08:00,192.67
2018-01-02 13:44:59-08:00,192.47
2018-01-02 13:59:59-08:00,195.2
2018-01-02 14:14:59-08:00,194.07
2018-01-02 14:29:59-08:00,194.8
2018-01-02 14:44:59-08:00,193.87
2018-01-02 14:59:59-08:00,194.87
2018-01-02 15:14:59-08:00,194.33
2018-01-02 15:29:59-08:00,190.53
2018-01-02 15:44:59-08:00,188.8
2018-01-02 15:59:59-08:00,188.0
2018-01-02 16:14:59-08:00,186.2
2018-01-02 16:29:59-08:00,181.8
2018-01-02 16:44:59-08:00,177.0
2018-01-02 16:59:59-08:00,175.2
2018-01-02 17:14:59-08:00,169.07
2018-01-02 17:29:59-08:00,165.4
2018-01-02 17:44:59-08:00,162.4
2018-01-02 17:59:59-08:00,160.4
2018-01-02 18:14:59-08:00,93.6
2018-01-02 18:29:59-08:00,43.13
2018-01-02 18:44:59-08:00,33.27
2018-01-02 18:59:59-08:00,33.0
2018-01-02 19:14:59-08:00,33.0
2018-01-02 19:29:59-08:00,33.07
2018-01-02 19:44:59-08:00,26.73
2018-01-02 19:59:59-08:00,20.73
2018-01-02 20:14:59-08:00,21.8
2018-01-02 20:29:59-08:00,20.07
2018-01-02 20:44:59-08:00,20.0
2018-01-02 20:59:59-08:00,20.0
2018-01-02 21:14:59-08:00,20.0
2018-01-02 21:29:59-08:00,20.0
2018-01-02 21:44:59-08:00,20.47
2018-01-02 21:59:59-08:00,20.0
2018-01-02 22:14:59-08:00,19.67
2018-01-02 22:29:59-08:00,18.27
2018-01-02 22:44:59-08:00,18.0
2018-01-02 22:59:59-08:00,18.0
2018-01-02 23:14:59-08:00,18.27
2018-01-02 23:29:59-08:00,19.53
2018-01-02 23:44:59-08:00,18.2
2018-01-02 23:59:59-08:00,19.67
2018-01-03 00:14:59-08:00,18.0
2018-01-03 00:29:59-08:00,18.0
2018-01-03 00:44:59-08:00,18.0
2018-01-03 00:59:59-08:00,18.0
2018-01-03 01:14:59-08:00,18.0
2018-01-03 01:29:59-08:00,18.0
2018-01-03 01:44:59-08:00,18.0
2018-01-03 01:59:59-08:00,18.0
2018-01-03 02:14:59-08:00,18.0
2018-01-03 02:29:59-08:00,18.0
2018-01-03 02:44:59-08:00,18.0
2018-01-03 02:59:59-08:00,18.0
2018-01-03 03:14:59-08:00,18.0
2018-01-03 03:29:59-08:00,18.0
2018-01-03 03:44:59-08:00,18.0
2018-01-03 03:59:59-08:00,18.0
2018-01-03 04:14:59-08:00,23.2
2018-01-03 04:29:59-08:00,28.87
2018-01-03 04:44:59-08:00,26.4
2018-01-03 04:59:59-08:00,26.0
2018-01-03 05:14:59-08:00,26.0
2018-01-03 05:29:59-08:00,26.0
2018-01-03 05:44:59-08:00,26.0
2018-01-03 05:59:59-08:00,26.0
2018-01-03 06:14:59-08:00,29.27
2018-01-03 06:29:59-08:00,33.93
2018-01-03 06:44:59-08:00,34.0
2018-01-03 06:59:59-08:00,34.13
2018-01-03 07:14:59-08:00,35.33
2018-01-03 07:29:59-08:00,37.87
2018-01-03 07:44:59-08:00,38.87
2018-01-03 07:59:59-08:00,41.6
2018-01-03 08:14:59-08:00,45.0
2018-01-03 08:29:59-08:00,45.0
2018-01-03 08:44:59-08:00,45.13
2018-01-03 08:59:59-08:00,45.33
2018-01-03 09:14:59-08:00,45.8
2018-01-03 09:29:59-08:00,45.07
2018-01-03 09:44:59-08:00,45.0
2018-01-03 09:59:59-08:00,45.8
2018-01-03 10:14:59-08:00,47.07
2018-01-03 10:29:59-08:00,56.2
2018-01-03 10:44:59-08:00,148.2
2018-01-03 10:59:59-08:00,248.53
2018-01-03 11:14:59-08:00,214.2
2018-01-03 11:29:59-08:00,186.4
2018-01-03 11:44:59-08:00,182.6
2018-01-03 11:59:59-08:00,184.47
2018-01-03 12:14:59-08:00,189.8
2018-01-03 12:29:59-08:00,194.6
2018-01-03 12:44:59-08:00,196.67
2018-01-03 12:59:59-08:00,195.33
2018-01-03 13:14:59-08:00,195.53
2018-01-03 13:29:59-08:00,197.0
2018-01-03 13:44:59-08:00,197.0
2018-01-03 13:59:59-08:00,195.0
2018-01-03 14:14:59-08:00,194.87
2018-01-03 14:29:59-08:00,194.13
2018-01-03 14:44:59-08:00,187.13
2018-01-03 14:59:59-08:00,191.6
2018-01-03 15:14:59-08:00,191.07
2018-01-03 15:29:59-08:00,191.2
2018-01-03 15:44:59-08:00,189.67
2018-01-03 15:59:59-08:00,188.2
2018-01-03 16:14:59-08:00,190.87
2018-01-03 16:29:59-08:00,189.93
2018-01-03 16:44:59-08:00,189.73
2018-01-03 16:59:59-08:00,191.2
2018-01-03 17:14:59-08:00,186.73
2018-01-03 17:29:59-08:00,182.13
2018-01-03 17:44:59-08:00,184.4
2018-01-03 17:59:59-08:00,183.67
2018-01-03 18:14:59-08:00,126.8
2018-01-03 18:29:59-08:00,35.13
2018-01-03 18:44:59-08:00,32.13
2018-01-03 18:59:59-08:00,33.13
2018-01-03 19:14:59-08:00,30.93
2018-01-03 19:29:59-08:00,30.0
2018-01-03 19:44:59-08:00,28.13
2018-01-03 19:59:59-08:00,23.53
2018-01-03 20:14:59-08:00,21.0
2018-01-03 20:29:59-08:00,20.8
2018-01-03 20:44:59-08:00,20.2
2018-01-03 20:59:59-08:00,21.2
2018-01-03 21:14:59-08:00,21.67
2018-01-03 21:29:59-08:00,21.0
2018-01-03 21:44:59-08:00,21.0
2018-01-03 21:59:59-08:00,21.6
2018-01-03 22:14:59-08:00,21.6
2018-01-03 22:29:59-08:00,19.0
2018-01-03 22:44:59-08:00,19.0
2018-01-03 22:59:59-08:00,19.0
2018-01-03 23:14:59-08:00,19.0
2018-01-03 23:29:59-08:00,19.0
2018-01-03 23:44:59-08:00,19.13
2018-01-03 23:59:59-08:00,20.47
2018-01-04 00:14:59-08:00,18.07
2018-01-04 00:29:59-08:00,18.0
